Tipo de jornada;Comunidades y Ciudades Autonómas;Decil;Periodo;Total
Total;06 Cantabria;3;2015;1.113,0
Total;06 Cantabria;3;2014;1.108,3
Total;06 Cantabria;3;2013;1.114,7
Total;06 Cantabria;3;2012;1.139,3
Total;06 Cantabria;3;2011;1.121,5
Total;06 Cantabria;3;2010;1.138,9
Total;06 Cantabria;3;2009;1.123,9
Total;06 Cantabria;3;2008;1.109,9
Total;06 Cantabria;3;2007;1.059,6
Total;06 Cantabria;3;2006;1.003,2
Total;06 Cantabria;4;2024;1.669,6
Total;06 Cantabria;4;2023;1.619,3
Total;06 Cantabria;4;2022;1.513,6
Total;06 Cantabria;4;2021;1.453,6
Total;06 Cantabria;4;2020;1.410,7
Total;06 Cantabria;4;2019;1.428,6
Total;06 Cantabria;4;2018;1.356,8
Total;06 Cantabria;4;2017;1.318,5
Total;06 Cantabria;4;2016;1.322,3
Total;06 Cantabria;4;2015;1.302,1
Total;06 Cantabria;4;2014;1.304,6
Total;06 Cantabria;4;2013;1.304,1
Total;06 Cantabria;4;2012;1.325,2
Total;06 Cantabria;4;2011;1.311,2
Total;06 Cantabria;4;2010;1.319,5
Total;06 Cantabria;4;2009;1.296,5
Total;06 Cantabria;4;2008;1.273,4
Total;06 Cantabria;4;2007;1.214,4
Total;06 Cantabria;4;2006;1.148,1
Total;06 Cantabria;5;2024;1.882,0
Total;06 Cantabria;5;2023;1.841,4
Total;06 Cantabria;5;2022;1.715,6
Total;06 Cantabria;5;2021;1.643,4
Total;06 Cantabria;5;2020;1.612,7
Total;06 Cantabria;5;2019;1.604,4
Total;06 Cantabria;5;2018;1.552,9
Total;06 Cantabria;5;2017;1.508,6
Total;06 Cantabria;5;2016;1.496,1
Total;06 Cantabria;5;2015;1.498,8
Total;06 Cantabria;5;2014;1.516,8
Total;06 Cantabria;5;2013;1.497,1
Total;06 Cantabria;5;2012;1.500,0
Total;06 Cantabria;5;2011;1.490,1
Total;06 Cantabria;5;2010;1.471,1
Total;06 Cantabria;5;2009;1.447,1
Total;06 Cantabria;5;2008;1.398,5
Total;06 Cantabria;5;2007;1.340,3
Total;06 Cantabria;5;2006;1.271,3
Total;06 Cantabria;6;2024;2.129,0
Total;06 Cantabria;6;2023;2.050,8
Total;06 Cantabria;6;2022;1.924,3
Total;06 Cantabria;6;2021;1.854,3
Total;06 Cantabria;6;2020;1.823,1
Total;06 Cantabria;6;2019;1.780,2
Total;06 Cantabria;6;2018;1.752,0
Total;06 Cantabria;6;2017;1.699,1
Total;06 Cantabria;6;2016;1.686,2
Total;06 Cantabria;6;2015;1.694,9
Total;06 Cantabria;6;2014;1.711,9
Total;06 Cantabria;6;2013;1.702,2
Total;06 Cantabria;6;2012;1.677,2
Total;06 Cantabria;6;2011;1.670,5
Total;06 Cantabria;6;2010;1.674,3
Total;06 Cantabria;6;2009;1.635,3
Total;06 Cantabria;6;2008;1.581,4
Total;06 Cantabria;6;2007;1.489,0
Total;06 Cantabria;6;2006;1.429,7
Total;06 Cantabria;7;2024;2.458,9
Total;06 Cantabria;7;2023;2.377,9
Total;06 Cantabria;7;2022;2.191,4
Total;06 Cantabria;7;2021;2.160,3
Total;06 Cantabria;7;2020;2.102,8
Total;06 Cantabria;7;2019;2.064,4
Total;06 Cantabria;7;2018;2.036,1
Total;06 Cantabria;7;2017;1.950,7
Total;06 Cantabria;7;2016;1.951,3
Total;06 Cantabria;7;2015;1.955,5
Total;06 Cantabria;7;2014;1.996,7
Total;06 Cantabria;7;2013;1.985,8
Total;06 Cantabria;7;2012;1.944,8
Total;06 Cantabria;7;2011;1.914,8
Total;06 Cantabria;7;2010;1.905,4
Total;06 Cantabria;7;2009;1.875,6
Total;06 Cantabria;7;2008;1.794,1
Total;06 Cantabria;7;2007;1.709,3
Total;06 Cantabria;7;2006;1.627,1
Total;06 Cantabria;8;2024;2.900,0
Total;06 Cantabria;8;2023;2.813,6
Total;06 Cantabria;8;2022;2.609,5
Total;06 Cantabria;8;2021;2.567,0
Total;06 Cantabria;8;2020;2.537,9
Total;06 Cantabria;8;2019;2.411,2
Total;06 Cantabria;8;2018;2.442,0
Total;06 Cantabria;8;2017;2.363,8
Total;06 Cantabria;8;2016;2.390,3
Total;06 Cantabria;8;2015;2.365,3
Total;06 Cantabria;8;2014;2.404,3
Total;06 Cantabria;8;2013;2.367,8
Total;06 Cantabria;8;2012;2.319,6
Total;06 Cantabria;8;2011;2.273,3
Total;06 Cantabria;8;2010;2.333,7
Total;06 Cantabria;8;2009;2.227,5
Total;06 Cantabria;8;2008;2.147,5
Total;06 Cantabria;8;2007;2.048,0
Total;06 Cantabria;8;2006;1.948,8
Total;06 Cantabria;9;2024;3.584,2
Total;06 Cantabria;9;2023;3.361,9
Total;06 Cantabria;9;2022;3.170,7
Total;06 Cantabria;9;2021;3.202,6
Total;06 Cantabria;9;2020;3.132,8
Total;06 Cantabria;9;2019;3.021,1
Total;06 Cantabria;9;2018;3.016,2
Total;06 Cantabria;9;2017;2.988,0
Total;06 Cantabria;9;2016;2.934,9
Total;06 Cantabria;9;2015;2.942,2
Total;06 Cantabria;9;2014;2.940,8
Total;06 Cantabria;9;2013;2.958,3
Total;06 Cantabria;9;2012;2.864,9
Total;06 Cantabria;9;2011;2.853,2
Total;06 Cantabria;9;2010;2.813,0
Total;06 Cantabria;9;2009;2.806,9
Total;06 Cantabria;9;2008;2.712,9
Total;06 Cantabria;9;2007;2.557,6
Total;06 Cantabria;9;2006;2.446,4
Total;06 Cantabria;10;2024;5.489,5
Total;06 Cantabria;10;2023;5.223,5
Total;06 Cantabria;10;2022;5.016,7
Total;06 Cantabria;10;2021;4.934,9
Total;06 Cantabria;10;2020;4.695,2
Total;06 Cantabria;10;2019;4.447,4
Total;06 Cantabria;10;2018;4.492,2
Total;06 Cantabria;10;2017;4.488,5
Total;06 Cantabria;10;2016;4.414,1
Total;06 Cantabria;10;2015;4.535,4
Total;06 Cantabria;10;2014;4.559,1
Total;06 Cantabria;10;2013;4.442,5
Total;06 Cantabria;10;2012;4.297,6
Total;06 Cantabria;10;2011;4.375,0
Total;06 Cantabria;10;2010;4.163,3
Total;06 Cantabria;10;2009;4.272,2
Total;06 Cantabria;10;2008;4.201,4
Total;06 Cantabria;10;2007;3.564,2
Total;06 Cantabria;10;2006;3.441,2
Total;07 Castilla y León;Total;2024;2.299,1
Total;07 Castilla y León;Total;2023;2.176,5
Total;07 Castilla y León;Total;2022;2.061,3
Total;07 Castilla y León;Total;2021;1.990,3
Total;07 Castilla y León;Total;2020;1.950,5
Total;07 Castilla y León;Total;2019;1.904,3
Total;07 Castilla y León;Total;2018;1.843,9
Total;07 Castilla y León;Total;2017;1.836,7
Total;07 Castilla y León;Total;2016;1.819,8
Total;07 Castilla y León;Total;2015;1.841,6
Total;07 Castilla y León;Total;2014;1.788,5
Total;07 Castilla y León;Total;2013;1.852,9
Total;07 Castilla y León;Total;2012;1.828,1
Total;07 Castilla y León;Total;2011;1.788,8
Total;07 Castilla y León;Total;2010;1.777,2
Total;07 Castilla y León;Total;2009;1.779,9
Total;07 Castilla y León;Total;2008;1.705,5
Total;07 Castilla y León;Total;2007;1.624,8
Total;07 Castilla y León;Total;2006;1.559,7
Total;07 Castilla y León;1;2024;717,8
Total;07 Castilla y León;1;2023;649,8
Total;07 Castilla y León;1;2022;631,9
Total;07 Castilla y León;1;2021;539,3
Total;07 Castilla y León;1;2020;504,5
Total;07 Castilla y León;1;2019;552,4
Total;07 Castilla y León;1;2018;484,9
Total;07 Castilla y León;1;2017;483,8
Total;07 Castilla y León;1;2016;458,4
Total;07 Castilla y León;1;2015;403,9
Total;07 Castilla y León;1;2014;416,5
Total;07 Castilla y León;1;2013;388,2
Total;07 Castilla y León;1;2012;439,4
Total;07 Castilla y León;1;2011;483,7
Total;07 Castilla y León;1;2010;463,9
Total;07 Castilla y León;1;2009;505,3
Total;07 Castilla y León;1;2008;478,3
Total;07 Castilla y León;1;2007;501,8
Total;07 Castilla y León;1;2006;450,7
Total;07 Castilla y León;2;2024;1.265,4
Total;07 Castilla y León;2;2023;1.201,5
Total;07 Castilla y León;2;2022;1.122,8
Total;07 Castilla y León;2;2021;1.031,9
Total;07 Castilla y León;2;2020;1.008,5
Total;07 Castilla y León;2;2019;990,2
Total;07 Castilla y León;2;2018;898,2
Total;07 Castilla y León;2;2017;858,4
Total;07 Castilla y León;2;2016;847,7
Total;07 Castilla y León;2;2015;826,5
Total;07 Castilla y León;2;2014;804,1
Total;07 Castilla y León;2;2013;807,1
Total;07 Castilla y León;2;2012;846,0
Total;07 Castilla y León;2;2011;855,3
Total;07 Castilla y León;2;2010;900,9
Total;07 Castilla y León;2;2009;884,3
Total;07 Castilla y León;2;2008;899,4
Total;07 Castilla y León;2;2007;860,2
Total;07 Castilla y León;2;2006;799,5
Total;07 Castilla y León;3;2024;1.489,9
Total;07 Castilla y León;3;2023;1.435,5
Total;07 Castilla y León;3;2022;1.341,7
Total;07 Castilla y León;3;2021;1.256,1
Total;07 Castilla y León;3;2020;1.238,8
Total;07 Castilla y León;3;2019;1.219,9
Total;07 Castilla y León;3;2018;1.166,6
Total;07 Castilla y León;3;2017;1.130,2
Total;07 Castilla y León;3;2016;1.129,2
Total;07 Castilla y León;3;2015;1.107,9
Total;07 Castilla y León;3;2014;1.101,6
Total;07 Castilla y León;3;2013;1.107,5
Total;07 Castilla y León;3;2012;1.125,1
Total;07 Castilla y León;3;2011;1.131,7
Total;07 Castilla y León;3;2010;1.140,8
Total;07 Castilla y León;3;2009;1.117,6
Total;07 Castilla y León;3;2008;1.112,7
Total;07 Castilla y León;3;2007;1.062,9
Total;07 Castilla y León;3;2006;1.001,6
Total;07 Castilla y León;4;2024;1.682,7
Total;07 Castilla y León;4;2023;1.628,4
Total;07 Castilla y León;4;2022;1.521,2
Total;07 Castilla y León;4;2021;1.460,1
Total;07 Castilla y León;4;2020;1.421,8
Total;07 Castilla y León;4;2019;1.424,9
Total;07 Castilla y León;4;2018;1.362,9
Total;07 Castilla y León;4;2017;1.325,0
Total;07 Castilla y León;4;2016;1.319,7
Total;07 Castilla y León;4;2015;1.303,9
Total;07 Castilla y León;4;2014;1.315,5
Total;07 Castilla y León;4;2013;1.313,7
Total;07 Castilla y León;4;2012;1.323,0
Total;07 Castilla y León;4;2011;1.308,9
Total;07 Castilla y León;4;2010;1.317,6
Total;07 Castilla y León;4;2009;1.288,9
Total;07 Castilla y León;4;2008;1.263,9
Total;07 Castilla y León;4;2007;1.210,5
Total;07 Castilla y León;4;2006;1.144,1
Total;07 Castilla y León;5;2024;1.889,2
Total;07 Castilla y León;5;2023;1.827,8
Total;07 Castilla y León;5;2022;1.703,4
Total;07 Castilla y León;5;2021;1.651,2
Total;07 Castilla y León;5;2020;1.604,4
Total;07 Castilla y León;5;2019;1.595,0
Total;07 Castilla y León;5;2018;1.543,5
Total;07 Castilla y León;5;2017;1.492,6
Total;07 Castilla y León;5;2016;1.495,0
Total;07 Castilla y León;5;2015;1.495,6
Total;07 Castilla y León;5;2014;1.502,2
Total;07 Castilla y León;5;2013;1.504,6
Total;07 Castilla y León;5;2012;1.491,4
Total;07 Castilla y León;5;2011;1.482,7
Total;07 Castilla y León;5;2010;1.476,9
Total;07 Castilla y León;5;2009;1.442,9
Total;07 Castilla y León;5;2008;1.409,2
Total;07 Castilla y León;5;2007;1.341,5
Total;07 Castilla y León;5;2006;1.270,1
Total;07 Castilla y León;6;2024;2.117,1
Total;07 Castilla y León;6;2023;2.054,7
Total;07 Castilla y León;6;2022;1.915,4
Total;07 Castilla y León;6;2021;1.862,2
Total;07 Castilla y León;6;2020;1.817,9
Total;07 Castilla y León;6;2019;1.795,8
Total;07 Castilla y León;6;2018;1.750,2
Total;07 Castilla y León;6;2017;1.693,3
Total;07 Castilla y León;6;2016;1.706,7
Total;07 Castilla y León;6;2015;1.702,7
Total;07 Castilla y León;6;2014;1.712,9
Total;07 Castilla y León;6;2013;1.701,2
Total;07 Castilla y León;6;2012;1.685,2
Total;07 Castilla y León;6;2011;1.681,0
Total;07 Castilla y León;6;2010;1.659,7
Total;07 Castilla y León;6;2009;1.637,7
Total;07 Castilla y León;6;2008;1.575,5
Total;07 Castilla y León;6;2007;1.492,4
Total;07 Castilla y León;6;2006;1.420,7
Total;07 Castilla y León;7;2024;2.455,9
Total;07 Castilla y León;7;2023;2.353,2
Total;07 Castilla y León;7;2022;2.177,1
Total;07 Castilla y León;7;2021;2.144,1
Total;07 Castilla y León;7;2020;2.104,4
Total;07 Castilla y León;7;2019;2.051,7
Total;07 Castilla y León;7;2018;2.008,8
Total;07 Castilla y León;7;2017;1.966,6
Total;07 Castilla y León;7;2016;1.975,8
Total;07 Castilla y León;7;2015;1.955,3
Total;07 Castilla y León;7;2014;1.993,3
Total;07 Castilla y León;7;2013;1.986,4
Total;07 Castilla y León;7;2012;1.942,8
Total;07 Castilla y León;7;2011;1.929,5
Total;07 Castilla y León;7;2010;1.908,0
Total;07 Castilla y León;7;2009;1.867,8
Total;07 Castilla y León;7;2008;1.793,4
Total;07 Castilla y León;7;2007;1.701,7
Total;07 Castilla y León;7;2006;1.627,7
Total;07 Castilla y León;8;2024;2.932,7
Total;07 Castilla y León;8;2023;2.785,6
Total;07 Castilla y León;8;2022;2.596,7
Total;07 Castilla y León;8;2021;2.539,7
Total;07 Castilla y León;8;2020;2.547,9
Total;07 Castilla y León;8;2019;2.455,7
Total;07 Castilla y León;8;2018;2.437,8
Total;07 Castilla y León;8;2017;2.363,2
Total;07 Castilla y León;8;2016;2.355,5
Total;07 Castilla y León;8;2015;2.376,7
Total;07 Castilla y León;8;2014;2.389,1
Total;07 Castilla y León;8;2013;2.353,2
Total;07 Castilla y León;8;2012;2.307,2
Total;07 Castilla y León;8;2011;2.306,5
Total;07 Castilla y León;8;2010;2.289,6
Total;07 Castilla y León;8;2009;2.249,6
Total;07 Castilla y León;8;2008;2.133,1
Total;07 Castilla y León;8;2007;2.048,7
Total;07 Castilla y León;8;2006;1.962,2
Total;07 Castilla y León;9;2024;3.560,6
Total;07 Castilla y León;9;2023;3.377,4
Total;07 Castilla y León;9;2022;3.186,2
Total;07 Castilla y León;9;2021;3.122,9
Total;07 Castilla y León;9;2020;3.162,7
Total;07 Castilla y León;9;2019;3.025,0
Total;07 Castilla y León;9;2018;3.007,9
Total;07 Castilla y León;9;2017;2.948,3
Total;07 Castilla y León;9;2016;2.897,8
Total;07 Castilla y León;9;2015;2.956,5
Total;07 Castilla y León;9;2014;2.954,8
Total;07 Castilla y León;9;2013;2.906,3
Total;07 Castilla y León;9;2012;2.852,7
Total;07 Castilla y León;9;2011;2.858,7
Total;07 Castilla y León;9;2010;2.838,9
Total;07 Castilla y León;9;2009;2.800,2
Total;07 Castilla y León;9;2008;2.689,1
Total;07 Castilla y León;9;2007;2.572,1
Total;07 Castilla y León;9;2006;2.434,4
Total;07 Castilla y León;10;2024;5.587,7
Total;07 Castilla y León;10;2023;5.250,6
Total;07 Castilla y León;10;2022;4.849,2
Total;07 Castilla y León;10;2021;4.969,6
Total;07 Castilla y León;10;2020;4.819,1
Total;07 Castilla y León;10;2019;4.770,4
Total;07 Castilla y León;10;2018;4.548,6
Total;07 Castilla y León;10;2017;4.626,2
Total;07 Castilla y León;10;2016;4.476,4
Total;07 Castilla y León;10;2015;4.783,9
Total;07 Castilla y León;10;2014;4.456,6
Total;07 Castilla y León;10;2013;4.506,3
Total;07 Castilla y León;10;2012;4.406,9
Total;07 Castilla y León;10;2011;4.422,1
Total;07 Castilla y León;10;2010;4.108,5
Total;07 Castilla y León;10;2009;4.238,6
Total;07 Castilla y León;10;2008;4.049,0
Total;07 Castilla y León;10;2007;3.550,8
Total;07 Castilla y León;10;2006;3.412,2
Total;08 Castilla - La Mancha;Total;2024;2.221,5
Total;08 Castilla - La Mancha;Total;2023;2.025,2
Total;08 Castilla - La Mancha;Total;2022;1.954,6
Total;08 Castilla - La Mancha;Total;2021;1.926,1
Total;08 Castilla - La Mancha;Total;2020;1.892,3
Total;08 Castilla - La Mancha;Total;2019;1.880,9
Total;08 Castilla - La Mancha;Total;2018;1.776,6
Total;08 Castilla - La Mancha;Total;2017;1.765,2
Total;08 Castilla - La Mancha;Total;2016;1.787,4
Total;08 Castilla - La Mancha;Total;2015;1.788,1
Total;08 Castilla - La Mancha;Total;2014;1.740,4
Total;08 Castilla - La Mancha;Total;2013;1.768,5
Total;08 Castilla - La Mancha;Total;2012;1.706,7
Total;08 Castilla - La Mancha;Total;2011;1.790,1
Total;08 Castilla - La Mancha;Total;2010;1.756,7
Total;08 Castilla - La Mancha;Total;2009;1.709,4
Total;08 Castilla - La Mancha;Total;2008;1.646,7
Total;08 Castilla - La Mancha;Total;2007;1.535,1
Total;08 Castilla - La Mancha;Total;2006;1.458,6
Total;08 Castilla - La Mancha;1;2024;719,1
Total;08 Castilla - La Mancha;1;2023;642,5
Total;08 Castilla - La Mancha;1;2022;611,2
Total;08 Castilla - La Mancha;1;2021;581,2
Total;08 Castilla - La Mancha;1;2020;513,6
Total;08 Castilla - La Mancha;1;2019;533,1
Total;08 Castilla - La Mancha;1;2018;482,7
Total;08 Castilla - La Mancha;1;2017;453,6
Total;08 Castilla - La Mancha;1;2016;459,5
Total;08 Castilla - La Mancha;1;2015;430,4
Total;08 Castilla - La Mancha;1;2014;444,2
Total;08 Castilla - La Mancha;1;2013;413,1
Total;08 Castilla - La Mancha;1;2012;436,4
Total;08 Castilla - La Mancha;1;2011;477,7
Total;08 Castilla - La Mancha;1;2010;482,4
Total;08 Castilla - La Mancha;1;2009;482,1
Total;08 Castilla - La Mancha;1;2008;491,3
Total;08 Castilla - La Mancha;1;2007;507,1
Total;08 Castilla - La Mancha;1;2006;478,1
Total;08 Castilla - La Mancha;2;2024;1.294,3
Total;08 Castilla - La Mancha;2;2023;1.218,3
Total;08 Castilla - La Mancha;2;2022;1.129,3
Total;08 Castilla - La Mancha;2;2021;1.035,3
Total;08 Castilla - La Mancha;2;2020;1.009,9
Total;08 Castilla - La Mancha;2;2019;997,1
Total;08 Castilla - La Mancha;2;2018;902,2
Total;08 Castilla - La Mancha;2;2017;865,8
Total;08 Castilla - La Mancha;2;2016;845,6
Total;08 Castilla - La Mancha;2;2015;828,9
Total;08 Castilla - La Mancha;2;2014;816,8
Total;08 Castilla - La Mancha;2;2013;814,9
Total;08 Castilla - La Mancha;2;2012;837,0
Total;08 Castilla - La Mancha;2;2011;856,9
Total;08 Castilla - La Mancha;2;2010;884,3
Total;08 Castilla - La Mancha;2;2009;883,6
Total;08 Castilla - La Mancha;2;2008;895,9
Total;08 Castilla - La Mancha;2;2007;843,3
Total;08 Castilla - La Mancha;2;2006;802,5
Total;08 Castilla - La Mancha;3;2024;1.491,8
Total;08 Castilla - La Mancha;3;2023;1.440,6
Total;08 Castilla - La Mancha;3;2022;1.348,0
Total;08 Castilla - La Mancha;3;2021;1.256,4
Total;08 Castilla - La Mancha;3;2020;1.236,0
Total;08 Castilla - La Mancha;3;2019;1.228,5
Total;08 Castilla - La Mancha;3;2018;1.154,4
Total;08 Castilla - La Mancha;3;2017;1.126,1
Total;08 Castilla - La Mancha;3;2016;1.126,3
Total;08 Castilla - La Mancha;3;2015;1.101,6
Total;08 Castilla - La Mancha;3;2014;1.108,4
Total;08 Castilla - La Mancha;3;2013;1.114,4
Total;08 Castilla - La Mancha;3;2012;1.124,7
Total;08 Castilla - La Mancha;3;2011;1.130,5
Total;08 Castilla - La Mancha;3;2010;1.145,6
Total;08 Castilla - La Mancha;3;2009;1.121,9
Total;08 Castilla - La Mancha;3;2008;1.122,4
Total;08 Castilla - La Mancha;3;2007;1.065,6
Total;08 Castilla - La Mancha;3;2006;1.013,5
Total;08 Castilla - La Mancha;4;2024;1.679,5
Total;08 Castilla - La Mancha;4;2023;1.628,3
Total;08 Castilla - La Mancha;4;2022;1.531,0
Total;08 Castilla - La Mancha;4;2021;1.452,0
Total;08 Castilla - La Mancha;4;2020;1.425,7
Total;08 Castilla - La Mancha;4;2019;1.421,9
Total;08 Castilla - La Mancha;4;2018;1.362,6
Total;08 Castilla - La Mancha;4;2017;1.321,3
Total;08 Castilla - La Mancha;4;2016;1.326,6
Total;08 Castilla - La Mancha;4;2015;1.308,7
Total;08 Castilla - La Mancha;4;2014;1.320,5
Total;08 Castilla - La Mancha;4;2013;1.318,9
Total;08 Castilla - La Mancha;4;2012;1.317,5
Total;08 Castilla - La Mancha;4;2011;1.311,8
Total;08 Castilla - La Mancha;4;2010;1.318,1
Total;08 Castilla - La Mancha;4;2009;1.287,1
Total;08 Castilla - La Mancha;4;2008;1.263,0
Total;08 Castilla - La Mancha;4;2007;1.200,9
Total;08 Castilla - La Mancha;4;2006;1.142,4
Total;08 Castilla - La Mancha;5;2024;1.881,0
Total;08 Castilla - La Mancha;5;2023;1.826,8
Total;08 Castilla - La Mancha;5;2022;1.699,4
Total;08 Castilla - La Mancha;5;2021;1.641,2
Total;08 Castilla - La Mancha;5;2020;1.599,3
Total;08 Castilla - La Mancha;5;2019;1.594,7
Total;08 Castilla - La Mancha;5;2018;1.547,7
Total;08 Castilla - La Mancha;5;2017;1.503,2
Total;08 Castilla - La Mancha;5;2016;1.500,9
Total;08 Castilla - La Mancha;5;2015;1.497,1
Total;08 Castilla - La Mancha;5;2014;1.498,8
Total;08 Castilla - La Mancha;5;2013;1.499,7
Total;08 Castilla - La Mancha;5;2012;1.489,3
Total;08 Castilla - La Mancha;5;2011;1.479,8
Total;08 Castilla - La Mancha;5;2010;1.477,0
Total;08 Castilla - La Mancha;5;2009;1.435,4
Total;08 Castilla - La Mancha;5;2008;1.411,4
Total;08 Castilla - La Mancha;5;2007;1.339,8
Total;08 Castilla - La Mancha;5;2006;1.267,5
Total;08 Castilla - La Mancha;6;2024;2.121,8
Total;08 Castilla - La Mancha;6;2023;2.044,4
Total;08 Castilla - La Mancha;6;2022;1.913,6
Total;08 Castilla - La Mancha;6;2021;1.861,1
Total;08 Castilla - La Mancha;6;2020;1.809,3
Total;08 Castilla - La Mancha;6;2019;1.793,6
Total;08 Castilla - La Mancha;6;2018;1.755,1
Total;08 Castilla - La Mancha;6;2017;1.699,1
Total;08 Castilla - La Mancha;6;2016;1.699,9
Total;08 Castilla - La Mancha;6;2015;1.702,6
Total;08 Castilla - La Mancha;6;2014;1.709,7
Total;08 Castilla - La Mancha;6;2013;1.709,6
Total;08 Castilla - La Mancha;6;2012;1.684,0
Total;08 Castilla - La Mancha;6;2011;1.678,0
Total;08 Castilla - La Mancha;6;2010;1.666,4
Total;08 Castilla - La Mancha;6;2009;1.629,7
Total;08 Castilla - La Mancha;6;2008;1.578,4
Total;08 Castilla - La Mancha;6;2007;1.491,4
Total;08 Castilla - La Mancha;6;2006;1.414,9
Total;08 Castilla - La Mancha;7;2024;2.440,8
Total;08 Castilla - La Mancha;7;2023;2.361,1
Total;08 Castilla - La Mancha;7;2022;2.187,1
Total;08 Castilla - La Mancha;7;2021;2.135,7
Total;08 Castilla - La Mancha;7;2020;2.100,1
Total;08 Castilla - La Mancha;7;2019;2.055,3
Total;08 Castilla - La Mancha;7;2018;2.012,9
Total;08 Castilla - La Mancha;7;2017;1.960,0
Total;08 Castilla - La Mancha;7;2016;1.950,4
Total;08 Castilla - La Mancha;7;2015;1.963,4
Total;08 Castilla - La Mancha;7;2014;1.996,3
Total;08 Castilla - La Mancha;7;2013;1.977,1
Total;08 Castilla - La Mancha;7;2012;1.943,1
Total;08 Castilla - La Mancha;7;2011;1.917,3
Total;08 Castilla - La Mancha;7;2010;1.907,2
Total;08 Castilla - La Mancha;7;2009;1.863,4
Total;08 Castilla - La Mancha;7;2008;1.793,3
Total;08 Castilla - La Mancha;7;2007;1.702,2
Total;08 Castilla - La Mancha;7;2006;1.624,1
Total;08 Castilla - La Mancha;8;2024;2.887,4
Total;08 Castilla - La Mancha;8;2023;2.781,3
Total;08 Castilla - La Mancha;8;2022;2.586,5
Total;08 Castilla - La Mancha;8;2021;2.553,9
Total;08 Castilla - La Mancha;8;2020;2.530,3
Total;08 Castilla - La Mancha;8;2019;2.449,7
Total;08 Castilla - La Mancha;8;2018;2.444,1
Total;08 Castilla - La Mancha;8;2017;2.342,1
Total;08 Castilla - La Mancha;8;2016;2.350,8
Total;08 Castilla - La Mancha;8;2015;2.367,7
Total;08 Castilla - La Mancha;8;2014;2.376,6
Total;08 Castilla - La Mancha;8;2013;2.356,5
Total;08 Castilla - La Mancha;8;2012;2.297,2
Total;08 Castilla - La Mancha;8;2011;2.288,9
Total;08 Castilla - La Mancha;8;2010;2.275,1
Total;08 Castilla - La Mancha;8;2009;2.246,9
Total;08 Castilla - La Mancha;8;2008;2.130,9
Total;08 Castilla - La Mancha;8;2007;2.053,1
Total;08 Castilla - La Mancha;8;2006;1.955,9
Total;08 Castilla - La Mancha;9;2024;3.565,5
Total;08 Castilla - La Mancha;9;2023;3.342,1
Total;08 Castilla - La Mancha;9;2022;3.184,6
Total;08 Castilla - La Mancha;9;2021;3.132,2
Total;08 Castilla - La Mancha;9;2020;3.160,2
Total;08 Castilla - La Mancha;9;2019;3.024,9
Total;08 Castilla - La Mancha;9;2018;2.984,6
Total;08 Castilla - La Mancha;9;2017;2.947,3
Total;08 Castilla - La Mancha;9;2016;2.905,0
Total;08 Castilla - La Mancha;9;2015;2.969,3
Total;08 Castilla - La Mancha;9;2014;2.947,6
Total;08 Castilla - La Mancha;9;2013;2.869,8
Total;08 Castilla - La Mancha;9;2012;2.855,6
Total;08 Castilla - La Mancha;9;2011;2.851,3
Total;08 Castilla - La Mancha;9;2010;2.826,0
Total;08 Castilla - La Mancha;9;2009;2.806,7
Total;08 Castilla - La Mancha;9;2008;2.693,4
Total;08 Castilla - La Mancha;9;2007;2.554,2
Total;08 Castilla - La Mancha;9;2006;2.458,1
Total;08 Castilla - La Mancha;10;2024;5.304,8
Total;08 Castilla - La Mancha;10;2023;5.166,2
Total;08 Castilla - La Mancha;10;2022;4.923,1
Total;08 Castilla - La Mancha;10;2021;4.711,6
Total;08 Castilla - La Mancha;10;2020;4.673,3
Total;08 Castilla - La Mancha;10;2019;4.708,8
Total;08 Castilla - La Mancha;10;2018;4.466,3
Total;08 Castilla - La Mancha;10;2017;4.483,5
Total;08 Castilla - La Mancha;10;2016;4.517,4
Total;08 Castilla - La Mancha;10;2015;4.511,3
Total;08 Castilla - La Mancha;10;2014;4.374,2
Total;08 Castilla - La Mancha;10;2013;4.429,9
Total;08 Castilla - La Mancha;10;2012;4.245,3
Total;08 Castilla - La Mancha;10;2011;4.351,2
Total;08 Castilla - La Mancha;10;2010;4.382,3
Total;08 Castilla - La Mancha;10;2009;4.212,3
Total;08 Castilla - La Mancha;10;2008;4.094,2
Total;08 Castilla - La Mancha;10;2007;3.565,5
Total;08 Castilla - La Mancha;10;2006;3.470,9
Total;09 Cataluña;Total;2024;2.529,9
Total;09 Cataluña;Total;2023;2.439,1
Total;09 Cataluña;Total;2022;2.261,5
Total;09 Cataluña;Total;2021;2.174,8
Total;09 Cataluña;Total;2020;2.158,2
Total;09 Cataluña;Total;2019;2.143,5
Total;09 Cataluña;Total;2018;2.067,6
Total;09 Cataluña;Total;2017;1.992,9
Total;09 Cataluña;Total;2016;1.952,0
Total;09 Cataluña;Total;2015;2.003,8
Total;09 Cataluña;Total;2014;1.953,3
Total;09 Cataluña;Total;2013;1.928,0
Total;09 Cataluña;Total;2012;1.926,0
Total;09 Cataluña;Total;2011;1.912,8
Total;09 Cataluña;Total;2010;1.908,4
Total;09 Cataluña;Total;2009;1.894,7
Total;09 Cataluña;Total;2008;1.882,4
Total;09 Cataluña;Total;2007;1.679,8
Total;09 Cataluña;Total;2006;1.676,8
Total;09 Cataluña;1;2024;700,9
