Tipo de jornada;Comunidades y Ciudades Autonómas;Decil;Periodo;Total
Total;Total Nacional;8;2024;2.914,7
Total;Total Nacional;8;2023;2.781,8
Total;Total Nacional;8;2022;2.592,8
Total;Total Nacional;8;2021;2.558,2
Total;Total Nacional;8;2020;2.541,4
Total;Total Nacional;8;2019;2.446,6
Total;Total Nacional;8;2018;2.422,0
Total;Total Nacional;8;2017;2.363,2
Total;Total Nacional;8;2016;2.355,0
Total;Total Nacional;8;2015;2.363,6
Total;Total Nacional;8;2014;2.386,3
Total;Total Nacional;8;2013;2.364,5
Total;Total Nacional;8;2012;2.304,2
Total;Total Nacional;8;2011;2.291,5
Total;Total Nacional;8;2010;2.291,4
Total;Total Nacional;8;2009;2.240,0
Total;Total Nacional;8;2008;2.144,9
Total;Total Nacional;8;2007;2.043,0
Total;Total Nacional;8;2006;1.960,3
Total;Total Nacional;9;2024;3.567,3
Total;Total Nacional;9;2023;3.390,6
Total;Total Nacional;9;2022;3.172,8
Total;Total Nacional;9;2021;3.142,9
Total;Total Nacional;9;2020;3.160,3
Total;Total Nacional;9;2019;3.035,5
Total;Total Nacional;9;2018;3.006,2
Total;Total Nacional;9;2017;2.955,5
Total;Total Nacional;9;2016;2.921,9
Total;Total Nacional;9;2015;2.964,2
Total;Total Nacional;9;2014;2.946,6
Total;Total Nacional;9;2013;2.915,8
Total;Total Nacional;9;2012;2.851,6
Total;Total Nacional;9;2011;2.847,5
Total;Total Nacional;9;2010;2.842,3
Total;Total Nacional;9;2009;2.818,5
Total;Total Nacional;9;2008;2.695,8
Total;Total Nacional;9;2007;2.570,1
Total;Total Nacional;9;2006;2.447,8
Total;Total Nacional;10;2024;5.741,0
Total;Total Nacional;10;2023;5.386,7
Total;Total Nacional;10;2022;5.002,0
Total;Total Nacional;10;2021;5.083,8
Total;Total Nacional;10;2020;4.964,0
Total;Total Nacional;10;2019;4.725,5
Total;Total Nacional;10;2018;4.799,6
Total;Total Nacional;10;2017;4.631,2
Total;Total Nacional;10;2016;4.568,7
Total;Total Nacional;10;2015;4.784,5
Total;Total Nacional;10;2014;4.616,9
Total;Total Nacional;10;2013;4.574,9
Total;Total Nacional;10;2012;4.515,0
Total;Total Nacional;10;2011;4.418,4
Total;Total Nacional;10;2010;4.356,5
Total;Total Nacional;10;2009;4.370,1
Total;Total Nacional;10;2008;4.346,3
Total;Total Nacional;10;2007;3.670,8
Total;Total Nacional;10;2006;3.573,7
Total;01 Andalucía;Total;2024;2.146,5
Total;01 Andalucía;Total;2023;2.100,7
Total;01 Andalucía;Total;2022;1.906,8
Total;01 Andalucía;Total;2021;1.864,5
Total;01 Andalucía;Total;2020;1.837,3
Total;01 Andalucía;Total;2019;1.773,0
Total;01 Andalucía;Total;2018;1.749,0
Total;01 Andalucía;Total;2017;1.681,3
Total;01 Andalucía;Total;2016;1.686,4
Total;01 Andalucía;Total;2015;1.653,9
Total;01 Andalucía;Total;2014;1.645,5
Total;01 Andalucía;Total;2013;1.645,4
Total;01 Andalucía;Total;2012;1.639,0
Total;01 Andalucía;Total;2011;1.677,0
Total;01 Andalucía;Total;2010;1.658,8
Total;01 Andalucía;Total;2009;1.659,9
Total;01 Andalucía;Total;2008;1.601,8
Total;01 Andalucía;Total;2007;1.512,7
Total;01 Andalucía;Total;2006;1.444,0
Total;01 Andalucía;1;2024;727,1
Total;01 Andalucía;1;2023;662,5
Total;01 Andalucía;1;2022;627,7
Total;01 Andalucía;1;2021;566,8
Total;01 Andalucía;1;2020;533,0
Total;01 Andalucía;1;2019;535,1
Total;01 Andalucía;1;2018;495,0
Total;01 Andalucía;1;2017;451,9
Total;01 Andalucía;1;2016;460,2
Total;01 Andalucía;1;2015;432,9
Total;01 Andalucía;1;2014;402,1
Total;01 Andalucía;1;2013;406,3
Total;01 Andalucía;1;2012;428,0
Total;01 Andalucía;1;2011;471,8
Total;01 Andalucía;1;2010;489,1
Total;01 Andalucía;1;2009;511,1
Total;01 Andalucía;1;2008;504,4
Total;01 Andalucía;1;2007;504,8
Total;01 Andalucía;1;2006;472,8
Total;01 Andalucía;2;2024;1.278,3
Total;01 Andalucía;2;2023;1.200,2
Total;01 Andalucía;2;2022;1.136,3
Total;01 Andalucía;2;2021;1.031,6
Total;01 Andalucía;2;2020;998,4
Total;01 Andalucía;2;2019;992,5
Total;01 Andalucía;2;2018;899,3
Total;01 Andalucía;2;2017;863,0
Total;01 Andalucía;2;2016;852,3
Total;01 Andalucía;2;2015;827,0
Total;01 Andalucía;2;2014;821,2
Total;01 Andalucía;2;2013;807,8
Total;01 Andalucía;2;2012;834,6
Total;01 Andalucía;2;2011;860,8
Total;01 Andalucía;2;2010;894,9
Total;01 Andalucía;2;2009;871,2
Total;01 Andalucía;2;2008;886,7
Total;01 Andalucía;2;2007;845,3
Total;01 Andalucía;2;2006;797,0
Total;01 Andalucía;3;2024;1.488,5
Total;01 Andalucía;3;2023;1.434,5
Total;01 Andalucía;3;2022;1.340,5
Total;01 Andalucía;3;2021;1.256,4
Total;01 Andalucía;3;2020;1.234,9
Total;01 Andalucía;3;2019;1.223,1
Total;01 Andalucía;3;2018;1.149,5
Total;01 Andalucía;3;2017;1.113,9
Total;01 Andalucía;3;2016;1.108,3
Total;01 Andalucía;3;2015;1.098,0
Total;01 Andalucía;3;2014;1.101,2
Total;01 Andalucía;3;2013;1.103,6
Total;01 Andalucía;3;2012;1.118,1
Total;01 Andalucía;3;2011;1.124,1
Total;01 Andalucía;3;2010;1.141,7
Total;01 Andalucía;3;2009;1.119,7
Total;01 Andalucía;3;2008;1.116,7
Total;01 Andalucía;3;2007;1.059,3
Total;01 Andalucía;3;2006;1.006,5
Total;01 Andalucía;4;2024;1.682,2
Total;01 Andalucía;4;2023;1.632,0
Total;01 Andalucía;4;2022;1.521,4
Total;01 Andalucía;4;2021;1.449,7
Total;01 Andalucía;4;2020;1.421,5
Total;01 Andalucía;4;2019;1.414,5
Total;01 Andalucía;4;2018;1.360,4
Total;01 Andalucía;4;2017;1.324,3
Total;01 Andalucía;4;2016;1.324,3
Total;01 Andalucía;4;2015;1.312,3
Total;01 Andalucía;4;2014;1.314,9
Total;01 Andalucía;4;2013;1.316,9
Total;01 Andalucía;4;2012;1.316,6
Total;01 Andalucía;4;2011;1.307,2
Total;01 Andalucía;4;2010;1.318,6
Total;01 Andalucía;4;2009;1.287,9
Total;01 Andalucía;4;2008;1.270,6
Total;01 Andalucía;4;2007;1.203,9
Total;01 Andalucía;4;2006;1.142,9
Total;01 Andalucía;5;2024;1.897,3
Total;01 Andalucía;5;2023;1.831,8
Total;01 Andalucía;5;2022;1.706,6
Total;01 Andalucía;5;2021;1.655,1
Total;01 Andalucía;5;2020;1.604,3
Total;01 Andalucía;5;2019;1.597,1
Total;01 Andalucía;5;2018;1.544,7
Total;01 Andalucía;5;2017;1.500,5
Total;01 Andalucía;5;2016;1.500,5
Total;01 Andalucía;5;2015;1.500,9
Total;01 Andalucía;5;2014;1.502,7
Total;01 Andalucía;5;2013;1.501,0
Total;01 Andalucía;5;2012;1.496,8
Total;01 Andalucía;5;2011;1.484,8
Total;01 Andalucía;5;2010;1.476,0
Total;01 Andalucía;5;2009;1.443,1
Total;01 Andalucía;5;2008;1.413,3
Total;01 Andalucía;5;2007;1.335,9
Total;01 Andalucía;5;2006;1.268,2
Total;01 Andalucía;6;2024;2.131,3
Total;01 Andalucía;6;2023;2.059,8
Total;01 Andalucía;6;2022;1.907,8
Total;01 Andalucía;6;2021;1.857,8
Total;01 Andalucía;6;2020;1.809,9
Total;01 Andalucía;6;2019;1.795,0
Total;01 Andalucía;6;2018;1.748,9
Total;01 Andalucía;6;2017;1.692,6
Total;01 Andalucía;6;2016;1.704,2
Total;01 Andalucía;6;2015;1.697,2
Total;01 Andalucía;6;2014;1.708,2
Total;01 Andalucía;6;2013;1.702,1
Total;01 Andalucía;6;2012;1.679,2
Total;01 Andalucía;6;2011;1.674,8
Total;01 Andalucía;6;2010;1.663,9
Total;01 Andalucía;6;2009;1.619,8
Total;01 Andalucía;6;2008;1.573,1
Total;01 Andalucía;6;2007;1.487,2
Total;01 Andalucía;6;2006;1.415,7
Total;01 Andalucía;7;2024;2.456,0
Total;01 Andalucía;7;2023;2.354,3
Total;01 Andalucía;7;2022;2.177,5
Total;01 Andalucía;7;2021;2.144,1
Total;01 Andalucía;7;2020;2.103,8
Total;01 Andalucía;7;2019;2.064,5
Total;01 Andalucía;7;2018;2.016,2
Total;01 Andalucía;7;2017;1.981,0
Total;01 Andalucía;7;2016;1.971,9
Total;01 Andalucía;7;2015;1.961,4
Total;01 Andalucía;7;2014;1.993,4
Total;01 Andalucía;7;2013;1.986,2
Total;01 Andalucía;7;2012;1.935,2
Total;01 Andalucía;7;2011;1.926,5
Total;01 Andalucía;7;2010;1.918,8
Total;01 Andalucía;7;2009;1.860,3
Total;01 Andalucía;7;2008;1.793,8
Total;01 Andalucía;7;2007;1.707,5
Total;01 Andalucía;7;2006;1.628,5
Total;01 Andalucía;8;2024;2.910,7
Total;01 Andalucía;8;2023;2.774,5
Total;01 Andalucía;8;2022;2.595,6
Total;01 Andalucía;8;2021;2.564,0
Total;01 Andalucía;8;2020;2.546,3
Total;01 Andalucía;8;2019;2.443,7
Total;01 Andalucía;8;2018;2.429,3
Total;01 Andalucía;8;2017;2.361,5
Total;01 Andalucía;8;2016;2.347,8
Total;01 Andalucía;8;2015;2.367,7
Total;01 Andalucía;8;2014;2.378,0
Total;01 Andalucía;8;2013;2.347,7
Total;01 Andalucía;8;2012;2.296,0
Total;01 Andalucía;8;2011;2.285,5
Total;01 Andalucía;8;2010;2.288,1
Total;01 Andalucía;8;2009;2.243,2
Total;01 Andalucía;8;2008;2.153,4
Total;01 Andalucía;8;2007;2.047,1
Total;01 Andalucía;8;2006;1.964,4
Total;01 Andalucía;9;2024;3.546,7
Total;01 Andalucía;9;2023;3.378,1
Total;01 Andalucía;9;2022;3.152,3
Total;01 Andalucía;9;2021;3.105,7
Total;01 Andalucía;9;2020;3.157,2
Total;01 Andalucía;9;2019;3.019,5
Total;01 Andalucía;9;2018;2.988,5
Total;01 Andalucía;9;2017;2.967,0
Total;01 Andalucía;9;2016;2.908,1
Total;01 Andalucía;9;2015;2.956,4
Total;01 Andalucía;9;2014;2.937,9
Total;01 Andalucía;9;2013;2.908,0
Total;01 Andalucía;9;2012;2.860,8
Total;01 Andalucía;9;2011;2.856,8
Total;01 Andalucía;9;2010;2.849,5
Total;01 Andalucía;9;2009;2.837,1
Total;01 Andalucía;9;2008;2.699,4
Total;01 Andalucía;9;2007;2.561,1
Total;01 Andalucía;9;2006;2.451,0
Total;01 Andalucía;10;2024;5.404,2
Total;01 Andalucía;10;2023;5.379,3
Total;01 Andalucía;10;2022;4.832,1
Total;01 Andalucía;10;2021;4.936,0
Total;01 Andalucía;10;2020;4.833,3
Total;01 Andalucía;10;2019;4.479,6
Total;01 Andalucía;10;2018;4.567,1
Total;01 Andalucía;10;2017;4.467,1
Total;01 Andalucía;10;2016;4.381,2
Total;01 Andalucía;10;2015;4.448,4
Total;01 Andalucía;10;2014;4.506,5
Total;01 Andalucía;10;2013;4.460,4
Total;01 Andalucía;10;2012;4.345,4
Total;01 Andalucía;10;2011;4.279,4
Total;01 Andalucía;10;2010;4.235,3
Total;01 Andalucía;10;2009;4.213,0
Total;01 Andalucía;10;2008;4.096,6
Total;01 Andalucía;10;2007;3.581,0
Total;01 Andalucía;10;2006;3.423,0
Total;02 Aragón;Total;2024;2.353,5
Total;02 Aragón;Total;2023;2.243,8
Total;02 Aragón;Total;2022;2.040,8
Total;02 Aragón;Total;2021;1.975,3
Total;02 Aragón;Total;2020;1.972,4
Total;02 Aragón;Total;2019;1.958,4
Total;02 Aragón;Total;2018;1.951,4
Total;02 Aragón;Total;2017;1.906,4
Total;02 Aragón;Total;2016;1.824,6
Total;02 Aragón;Total;2015;1.938,6
Total;02 Aragón;Total;2014;1.875,2
Total;02 Aragón;Total;2013;1.842,7
Total;02 Aragón;Total;2012;1.887,4
Total;02 Aragón;Total;2011;1.870,6
Total;02 Aragón;Total;2010;1.894,4
Total;02 Aragón;Total;2009;1.904,8
Total;02 Aragón;Total;2008;1.820,0
Total;02 Aragón;Total;2007;1.716,7
Total;02 Aragón;Total;2006;1.631,7
Total;02 Aragón;1;2024;672,4
Total;02 Aragón;1;2023;686,5
Total;02 Aragón;1;2022;590,7
Total;02 Aragón;1;2021;581,0
Total;02 Aragón;1;2020;510,1
Total;02 Aragón;1;2019;507,4
Total;02 Aragón;1;2018;483,3
Total;02 Aragón;1;2017;456,2
Total;02 Aragón;1;2016;485,8
Total;02 Aragón;1;2015;460,1
Total;02 Aragón;1;2014;399,0
Total;02 Aragón;1;2013;435,8
Total;02 Aragón;1;2012;457,6
Total;02 Aragón;1;2011;494,1
Total;02 Aragón;1;2010;480,1
Total;02 Aragón;1;2009;502,6
Total;02 Aragón;1;2008;506,7
Total;02 Aragón;1;2007;492,0
Total;02 Aragón;1;2006;464,6
Total;02 Aragón;2;2024;1.272,2
Total;02 Aragón;2;2023;1.222,3
Total;02 Aragón;2;2022;1.137,5
Total;02 Aragón;2;2021;1.017,0
Total;02 Aragón;2;2020;999,0
Total;02 Aragón;2;2019;990,1
Total;02 Aragón;2;2018;886,5
Total;02 Aragón;2;2017;854,6
Total;02 Aragón;2;2016;853,0
Total;02 Aragón;2;2015;830,3
Total;02 Aragón;2;2014;836,0
Total;02 Aragón;2;2013;807,1
